Category,Parameter,Value,Unit,Architecture,Phase,Notes / Formula
Labor Rates,Electrician (default),31.11,$/hr,All,All,"Licensed electrician; used for AC conduit, cable, panel, testing (scope-verified national avg)"
Labor Rates,Low Voltage Technician (default),28.51,$/hr,All,All,"LV tech; used for Class 2 and Class 4 cable, pathway, hardware (scope-verified)"
Labor Rates,Design / PM (default),51.43,$/hr,All,All,"Design, permitting, closeout across all architectures"
Labor Rates,Electrical Designer / Drafter (default),35.44,$/hr,Class 1 AC,Phases 1 & 5,"BIM, submittals, coordination drawings, panel schedules"
Labor Rates,Construction Laborer (default),22.47,$/hr,Class 1 AC,Phase 3,"Core drilling, firestopping penetrations"
Labor Rates,Work Day,8,hours/day,All,All,Standard day for converting hours to calendar days
Labor Rates,Crew Divisor (install phases),crewSize (user input),persons,All,Phases 3-6,Install hours divided by crew size to get calendar days
Labor Rates,Crew Divisor (design phases),1,persons,All,Phases 1-2,Design phases always 1 person regardless of crew size
,,,,,,
Cable Sizing (AC),AWG #12 threshold,≤500W (short run ≤300ft),,Class 1 AC,Phase 5,"$0.35/conductor; bumps to #10 if >300ft"
Cable Sizing (AC),AWG #10 threshold,"≤500W long OR ≤1500W short",,Class 1 AC,Phase 5,"$0.45/conductor"
Cable Sizing (AC),AWG #8 threshold,"≤1500W long OR ≤3000W short",,Class 1 AC,Phase 5,"$0.75/conductor"
Cable Sizing (AC),AWG #6 threshold,≤3000W (long run),,Class 1 AC,Phase 5,"$1.10/conductor"
Cable Sizing (AC),AWG #4 threshold,≤5000W,,Class 1 AC,Phase 5,"$1.65/conductor"
Cable Sizing (AC),AWG #1 threshold,≤10000W,,Class 1 AC,Phase 5,"$3.20/conductor"
Cable Sizing (AC),AWG 4/0 threshold,>10000W,,Class 1 AC,Phase 5,"$5.50/conductor (fallback for largest loads)"
Cable Sizing (AC),Long run distance threshold,300,ft,Class 1 AC,Phase 5,"Distances >300ft bump one AWG size for voltage drop"
Cable Sizing (AC),Conductor count (1-phase ≤2000W),3,wires,Class 1 AC,Phase 5,"Hot + Neutral + Ground"
Cable Sizing (AC),Conductor count (3-phase >2000W),5,wires,Class 1 AC,Phase 5,"3 Phase + Neutral + Ground"
,,,,,,
Conduit Sizing (AC),"3/4"" EMT (≤1000W)",0.90,$/ft material,Class 1 AC,Phase 3,"Labor: 0.06 hrs/ft (~16 ft/hr)"
Conduit Sizing (AC),"1"" EMT (≤2000W)",1.50,$/ft material,Class 1 AC,Phase 3,"Labor: 0.08 hrs/ft (~12 ft/hr)"
Conduit Sizing (AC),"1-1/4"" EMT (≤5000W)",2.50,$/ft material,Class 1 AC,Phase 3,"Labor: 0.10 hrs/ft (~10 ft/hr)"
Conduit Sizing (AC),"2"" EMT (≤10000W)",4.50,$/ft material,Class 1 AC,Phase 3,"Labor: 0.14 hrs/ft (~7 ft/hr)"
Conduit Sizing (AC),"4"" EMT/IMC (>10000W)",18.00,$/ft material,Class 1 AC,Phase 3,"Labor: 0.22 hrs/ft (~4.5 ft/hr); scope-verified from feeder conduit pricing"
Conduit Sizing (AC),Pull box count,ceil(conduitFt/100) - 1,ea,Class 1 AC,Phase 3,"NEC requirement per 100ft; $250/ea material"
Conduit Sizing (AC),Core drill count,ceil(distanceFt/150),ea,Class 1 AC,Phase 3,"Fire barrier penetrations; 1.6 hrs labor + $75 material each"
,,,,,,
Distance Multipliers,AC conduit length factor,1.15,x distance,Class 1 AC,Phase 3,"conduitFt = distanceFt * 1.15 (bends, fittings)"
Distance Multipliers,AC cable length factor,1.18,x distance,Class 1 AC,Phase 5,"cableFt = distanceFt * 1.18 (slack, termination)"
Distance Multipliers,CL2 pathway length factor,1.05,x distance,Class 2 DC,Phase 3,pathwayFt = distanceFt * 1.05
Distance Multipliers,CL2 cable length factor,1.10,x distance per run,Class 2 DC,Phase 5,"cableFt = runs * distanceFt * 1.1 (per run, with slack)"
Distance Multipliers,CL4 cable length factor,1.10,x distance,Class 4 FMP,Phase 5,cl4CableFt = distanceFt * 1.1
Distance Multipliers,CL4 fiber length factor,1.10,x distance,Class 4 FMP,Phase 5,fiberFt = distanceFt * 1.1
,,,,,,
Class 2 Sizing,Effective watts per run,90,W/run,Class 2 DC,All,runs = ceil(powerW / 90)
Class 2 Sizing,DC hub sizing,300,W/hub,Class 2 DC,Phase 4,dcHubQty = ceil(powerW / 300)
Class 2 Sizing,J-hook spacing,6,ft/hook,Class 2 DC,Phase 3,jHookQty = pathwayFt / 6
,,,,,,
Class 4 Sizing,Channel capacity,1300,W/channel,Class 4 FMP,Phase 4,channels = ceil(powerW / 1300)
Class 4 Sizing,Receiver capacity,1500,W/receiver,Class 4 FMP,Phase 4,receiverQty = ceil(powerW / 1500)
Class 4 Sizing,Pathway support spacing,8,ft/support,Class 4 FMP,Phase 3,supports = cl4CableFt / 8
,,,,,,
Material Costs (AC),"Feeder conduit (power-scaled)",0.90 – 18.00,$/ft,Class 1 AC,Phase 3,"See Conduit Sizing table; scales with powerW"
Material Costs (AC),Pull boxes / junction cabinets,250,$/ea,Class 1 AC,Phase 3,"Qty = ceil(conduitFt/100) - 1"
Material Costs (AC),Core drill + firestop materials,75,$/ea,Class 1 AC,Phase 3,"Qty = ceil(distanceFt/150)"
Material Costs (AC),Grounding and bonding materials,200,$ (lot),Class 1 AC,Phase 3,
Material Costs (AC),"Panelboard assembly (≤2000W)",1200,$ (lot),Class 1 AC,Phase 4,"Sub-panel tier (scope Row 26-29: 225A class panels)"
Material Costs (AC),"Panelboard assembly (>2000W)",2500,$ (lot),Class 1 AC,Phase 4,"Main panel tier (scope Row 24: 400A class 480/277V)"
Material Costs (AC),"Dry-type transformer",4500,$/ea,Class 1 AC,Phase 4,"Scope Row 25: V48M28T7516 dry-type 480→208/120; when powerW > 500"
Material Costs (AC),Feeder breaker assembly,2500,$/ea,Class 1 AC,Phase 4,"Scope Row 13: In MER source gear (size/series per gear)"
Material Costs (AC),Labeling and consumables,250,$ (lot),Class 1 AC,Phase 5,"Scope Row 22: Label feeder, pull boxes, panels per labeling standard"
Material Costs (AC),Testing consumables,80,$ (lot),Class 1 AC,Phase 6,
Material Costs (AC),Permit allowance,500,$ (lot),Class 1 AC,Phase 2,"Scope Row 11: Permit fees (allowance)"
,,,,,,
Material Costs (CL2),J-hooks and pathway supports,4.50,$/ea,Class 2 DC,Phase 3,
Material Costs (CL2),Injectors,160,$/ea,Class 2 DC,Phase 4,Qty = runs
Material Costs (CL2),DC hubs,520,$/ea,Class 2 DC,Phase 4,Qty = ceil(powerW / 300)
Material Costs (CL2),Class 2 cable,0.65,$/ft,Class 2 DC,Phase 5,
Material Costs (CL2),Labels and small parts,95,$ (lot),Class 2 DC,Phase 5,
Material Costs (CL2),Testing consumables,65,$ (lot),Class 2 DC,Phase 6,
Material Costs (CL2),Permit allowance,250,$ (lot),Class 2 DC,Phase 2,
,,,,,,
Material Costs (CL4),Pathway supports,4.50,$/ea,Class 4 FMP,Phase 3,
Material Costs (CL4),Head-end channel allocation,2600,$/channel,Class 4 FMP,Phase 4,Qty = channels
Material Costs (CL4),Class 4 receiver,1650,$/ea,Class 4 FMP,Phase 4,Qty = receiverQty
Material Costs (CL4),CL4 cable,1.96,$/ft,Class 4 FMP,Phase 5,
Material Costs (CL4),Fiber backbone cable,0.35,$/ft,Class 4 FMP,Phase 5,
Material Costs (CL4),Fiber connectors and accessories,240,$ (lot),Class 4 FMP,Phase 5,
Material Costs (CL4),Test equipment consumables,90,$ (lot),Class 4 FMP,Phase 6,
Material Costs (CL4),Permit allowance,350,$ (lot),Class 4 FMP,Phase 2,
,,,,,,
Labor Productivity (AC),Design - base hours,6,hrs,Class 1 AC,Phase 1,"Formula: 6 + distanceFt/500 + powerW/1800"
Labor Productivity (AC),Design - distance adder,1/500,hrs/ft,Class 1 AC,Phase 1,
Labor Productivity (AC),Design - power adder,1/1800,hrs/W,Class 1 AC,Phase 1,
Labor Productivity (AC),Submittals and coordination,10,hrs (fixed),Class 1 AC,Phase 1,"Designer/Drafter role at $35.44/hr"
Labor Productivity (AC),Permitting - base hours,8,hrs,Class 1 AC,Phase 2,"Formula: 8 + distanceFt/1000 (updated from scope)"
Labor Productivity (AC),Permitting - distance adder,1/1000,hrs/ft,Class 1 AC,Phase 2,
Labor Productivity (AC),Mobilization and safety,12,hrs (fixed),Class 1 AC,Phase 2,"Project admin allowance"
Labor Productivity (AC),Feeder conduit install rate,0.06–0.22,hrs/ft (varies by size),Class 1 AC,Phase 3,"3/4""=0.06, 1""=0.08, 1-1/4""=0.10, 2""=0.14, 4""=0.22"
Labor Productivity (AC),Simple conduit install rate,0.05,hrs/ft,Class 1 AC,Phase 3,"Simple tier (< 260ft, < 2000W) branch conduit"
Labor Productivity (AC),Pull box install rate,1.75,hrs/ea,Class 1 AC,Phase 3,"Per junction cabinet"
Labor Productivity (AC),Core drilling + firestop rate,1.6,hrs/ea,Class 1 AC,Phase 3,"Construction laborer at $22.47/hr"
Labor Productivity (AC),Grounding and bonding,4,hrs (fixed),Class 1 AC,Phase 3,
Labor Productivity (AC),Panel install,10,hrs/panel,Class 1 AC,Phase 4,"Scope-verified: fixed 10 hrs regardless of size"
Labor Productivity (AC),Transformer install,16,hrs/ea,Class 1 AC,Phase 4,"When powerW > 500; scope-verified"
Labor Productivity (AC),Feeder breaker install,6,hrs/ea,Class 1 AC,Phase 4,"Install in MER source gear"
Labor Productivity (AC),Cable pull rate (feeder),0.04,hrs/ft,Class 1 AC,Phase 5,"~25 ft/hr standard pull; 0.06 hrs/ft for >5000W heavy feeders"
Labor Productivity (AC),Cable pull rate (simple branch),0.03,hrs/ft,Class 1 AC,Phase 5,"Simple tier branch wiring"
Labor Productivity (AC),Termination - base hours,4,hrs,Class 1 AC,Phase 5,"Formula: 4 + powerW/3000 (updated from scope)"
Labor Productivity (AC),Termination - power adder,1/3000,hrs/W,Class 1 AC,Phase 5,
Labor Productivity (AC),Panel schedules/directories,6,hrs,Class 1 AC,Phase 5,"Designer/Drafter role"
